x,y,z,rearZ,mattype,rearMat,Wm2Front,Wm2Back,Back/FrontRatio
1.640766,1.00468e-16,1.791126,1.770625,a9.3.a2.2.0.cellPVmodule.6457,a9.3.a2.2.0.cellPVmodule.2310,558.2972,58.94226,0.10557487020377283
1.241548,7.60229e-17,1.946534,1.926033,a9.3.a2.4.0.cellPVmodule.6457,a9.3.a2.4.0.cellPVmodule.2310,558.5764666666666,50.834630000000004,0.09100730522367416
0.8423303,5.157785e-17,2.101942,2.081441,a9.3.a2.7.0.cellPVmodule.6457,a9.3.a2.7.0.cellPVmodule.2310,559.2527333333334,46.17973666666666,0.08257385496815636
0.4431123,2.71328e-17,2.25735,2.236848,a9.3.a2.9.0.cellPVmodule.6457,a9.3.a2.9.0.cellPVmodule.2310,559.4799666666667,42.576119999999996,0.07609931800480076
0.04389437,2.687755e-18,2.412758,2.392256,a9.3.octtube1a.6457,sky,538.5631333333333,8.450147,0.015690140648059
-0.3553236,-2.175729e-17,2.568165,2.547664,a9.3.a2.2.1.cellPVmodule.6457,a9.3.a2.2.1.cellPVmodule.2310,560.5577,41.648986666666666,0.07429906389226797
-0.7545415,-4.620234e-17,2.723573,2.703072,a9.3.a2.4.1.cellPVmodule.6457,a9.3.a2.4.1.cellPVmodule.2310,560.7547666666667,45.177150000000005,0.0805647532945567
-1.153759,-7.064739e-17,2.878981,2.85848,a9.3.a2.7.1.cellPVmodule.6457,a9.3.a2.7.1.cellPVmodule.2310,561.1698333333334,48.22981000000001,0.08594496922357275
-1.552977,-9.509244e-17,3.034389,3.013888,a9.3.a2.9.1.cellPVmodule.6457,a9.3.a2.9.1.cellPVmodule.2310,561.2848,52.47137999999999,0.09348424635007689
