x,y,z,rearZ,mattype,rearMat,Wm2Front,Wm2Back,Back/FrontRatio
1.314208,8.047201e-17,1.193689,1.177898,a9.3.a2.2.0.cellPVmodule.6457,a9.3.a2.2.0.cellPVmodule.2310,600.6743333333333,46.925630000000005,0.0781214532975662
1.006718,6.164372e-17,1.491979,1.476188,a9.3.a2.4.0.cellPVmodule.6457,a9.3.a2.4.0.cellPVmodule.2310,601.5628666666668,38.003409999999995,0.06317435621687383
0.6992293,4.281544e-17,1.790269,1.774478,a9.3.a2.7.0.cellPVmodule.6457,a9.3.a2.7.0.cellPVmodule.2310,602.1919333333334,33.971853333333335,0.05641357022455926
0.3917401,2.398716e-17,2.088559,2.072768,a9.3.a2.9.0.cellPVmodule.6457,a9.3.a2.9.0.cellPVmodule.2310,603.0678666666666,31.036739999999998,0.05146466965132672
0.08425093,5.158882e-18,2.386849,2.371058,a9.3.octtube1a.6457,sky,589.8926666666666,10.49121,0.017784917168687468
-0.2232382,-1.36694e-17,2.685139,2.669349,a9.3.a2.2.1.cellPVmodule.6457,a9.3.a2.2.1.cellPVmodule.2310,606.0144,30.329273333333333,0.050047034008266676
-0.5307274,-3.249768e-17,2.983429,2.967639,a9.3.a2.4.1.cellPVmodule.6457,a9.3.a2.4.1.cellPVmodule.2310,606.9672333333333,34.25691333333333,0.05643938422477574
-0.8382166,-5.132596e-17,3.281719,3.265929,a9.3.a2.7.1.cellPVmodule.6457,a9.3.a2.7.1.cellPVmodule.2310,607.9258,36.48357,0.06001309697154329
-1.145706,-7.015424e-17,3.58001,3.564219,a9.3.a2.9.1.cellPVmodule.6457,a9.3.a2.9.1.cellPVmodule.2310,608.8034000000001,37.948586666666664,0.06233297043626271
