x,y,z,rearZ,mattype,rearMat,Wm2Front,Wm2Back,Back/FrontRatio
1.660651,1.016855e-16,2.739664,2.718053,a9.3.a2.2.0.cellPVmodule.6457,a9.3.a2.2.0.cellPVmodule.2310,31.592579999999998,4.009119666666667,0.12689665643040982
1.239825,7.59174e-17,2.659463,2.637852,a9.3.a2.4.0.cellPVmodule.6457,a9.3.a2.4.0.cellPVmodule.2310,31.590100000000003,3.8798926666666667,0.12281600408553885
0.8189993,5.014925e-17,2.579262,2.557651,a9.3.a2.7.0.cellPVmodule.6457,a9.3.a2.7.0.cellPVmodule.2310,31.587640000000004,3.7393300000000003,0.1183757831929453
0.3981735,2.438109e-17,2.499061,2.47745,a9.3.a2.9.0.cellPVmodule.6457,a9.3.a2.9.0.cellPVmodule.2310,31.585179999999998,3.5399166666666666,0.1120716929577007
-0.02265239,-1.387059e-18,2.418861,2.39725,a9.3.octtube1a.6457,sky,30.77835,10.59395,0.3441901794547318
-0.4434783,-2.715521e-17,2.33866,2.317049,a9.3.a2.2.1.cellPVmodule.6457,a9.3.a2.2.1.cellPVmodule.2310,31.504456666666666,3.4387646666666662,0.10914822479957703
-0.8643041,-5.292336e-17,2.258459,2.236848,a9.3.a2.4.1.cellPVmodule.6457,a9.3.a2.4.1.cellPVmodule.2310,31.48591,3.5504203333333333,0.11275861408227524
-1.28513,-7.869152e-17,2.178259,2.156648,a9.3.a2.7.1.cellPVmodule.6457,a9.3.a2.7.1.cellPVmodule.2310,31.46735,3.6652409999999995,0.11647388566607399
-1.705956,-1.044597e-16,2.098058,2.076447,a9.3.a2.9.1.cellPVmodule.6457,a9.3.a2.9.1.cellPVmodule.2310,31.317776666666663,3.8284443333333336,0.12224118374994002
