x,y,z,rearZ,mattype,rearMat,Wm2Front,Wm2Back,Back/FrontRatio
1.717854,1.051882e-16,2.306567,2.284616,a9.3.a2.2.0.cellPVmodule.6457,a9.3.a2.2.0.cellPVmodule.2310,30.074783333333333,3.1602126666666663,0.10507499111965495
1.290406,7.901457e-17,2.335108,2.313157,a9.3.a2.4.0.cellPVmodule.6457,a9.3.a2.4.0.cellPVmodule.2310,30.074793333333332,3.1423253333333334,0.10448021432075275
0.8629577,5.284092e-17,2.363649,2.341698,a9.3.a2.7.0.cellPVmodule.6457,a9.3.a2.7.0.cellPVmodule.2310,30.07501333333333,3.1212043333333335,0.10377719609114862
0.4355095,2.666727e-17,2.39219,2.370239,a9.3.a2.9.0.cellPVmodule.6457,a9.3.a2.9.0.cellPVmodule.2310,30.07523333333333,3.054502,0.10155866149019104
0.008061286,4.936114e-19,2.420731,2.39878,a9.3.octtube1a.6457,sky,12.141373333333334,1.379765,0.11363223334702276
-0.4193869,-2.568004e-17,2.449272,2.427321,a9.3.a2.2.1.cellPVmodule.6457,a9.3.a2.2.1.cellPVmodule.2310,30.102843333333336,3.030489333333333,0.10066785492395044
-0.8468351,-5.18537e-17,2.477813,2.455862,a9.3.a2.4.1.cellPVmodule.6457,a9.3.a2.4.1.cellPVmodule.2310,30.101963333333334,3.1013786666666667,0.10302569326231338
-1.274283,-7.802735e-17,2.506354,2.484403,a9.3.a2.7.1.cellPVmodule.6457,a9.3.a2.7.1.cellPVmodule.2310,30.101280000000003,3.107172333333333,0.10322049802650606
-1.701732,-1.04201e-16,2.534895,2.512944,a9.3.a2.9.1.cellPVmodule.6457,a9.3.a2.9.1.cellPVmodule.2310,30.100593333333336,3.1291566666666664,0.10395319051771122
