x,y,z,rearZ,mattype,rearMat,Wm2Front,Wm2Back,Back/FrontRatio
1.662388,1.017919e-16,1.866951,1.846105,a9.3.a2.2.0.cellPVmodule.6457,a9.3.a2.2.0.cellPVmodule.2310,95.43794000000001,7.103133666666667,0.07442594884925027
1.25646,7.693596e-17,2.003876,1.98303,a9.3.a2.4.0.cellPVmodule.6457,a9.3.a2.4.0.cellPVmodule.2310,96.76455666666668,6.935755,0.07167586524502674
0.8505311,5.208001e-17,2.140802,2.119956,a9.3.a2.7.0.cellPVmodule.6457,a9.3.a2.7.0.cellPVmodule.2310,97.40648333333333,6.693470666666667,0.06871618522122445
0.4446026,2.722406e-17,2.277727,2.256881,a9.3.a2.9.0.cellPVmodule.6457,a9.3.a2.9.0.cellPVmodule.2310,99.09321999999999,6.344848333333334,0.06402844013841912
0.03867413,2.368107e-18,2.414653,2.393807,a9.3.octtube1a.6457,sky,56.206340000000004,7.096025,0.12624730150902
-0.3672544,-2.248784e-17,2.551579,2.530733,a9.3.a2.2.1.cellPVmodule.6457,a9.3.a2.2.1.cellPVmodule.2310,100.75516666666665,7.286493666666668,0.07231809136578904
-0.7731829,-4.73438e-17,2.688504,2.667658,a9.3.a2.4.1.cellPVmodule.6457,a9.3.a2.4.1.cellPVmodule.2310,101.17296666666668,7.650397000000001,0.07561626030938788
-1.179111,-7.219975e-17,2.82543,2.804584,a9.3.a2.7.1.cellPVmodule.6457,a9.3.a2.7.1.cellPVmodule.2310,101.4742,7.8957370000000004,0.07780952390337738
-1.58504,-9.70557e-17,2.962355,2.941509,a9.3.a2.9.1.cellPVmodule.6457,a9.3.a2.9.1.cellPVmodule.2310,101.58566666666667,8.005702333333332,0.07880662488515551
