x,y,z,rearZ,mattype,rearMat,Wm2Front,Wm2Back,Back/FrontRatio
1.297258,7.943415e-17,1.173862,1.158305,a9.3.a2.2.0.cellPVmodule.6457,a9.3.a2.2.0.cellPVmodule.2310,591.3198000000001,31.85096333333333,0.05386410106550171
0.9943336,6.088537e-17,1.476786,1.46123,a9.3.a2.4.0.cellPVmodule.6457,a9.3.a2.4.0.cellPVmodule.2310,593.9477666666667,30.535576666666667,0.05141112900703052
0.691409,4.233659e-17,1.779711,1.764154,a9.3.a2.7.0.cellPVmodule.6457,a9.3.a2.7.0.cellPVmodule.2310,595.3449999999999,28.0684,0.04714636530689718
0.3884845,2.378781e-17,2.082635,2.067079,a9.3.a2.9.0.cellPVmodule.6457,a9.3.a2.9.0.cellPVmodule.2310,597.3926,24.265320000000003,0.04061864740432439
0.08555992,5.239034e-18,2.38556,2.370004,a9.3.octtube1a.6457,sky,589.3927666666667,9.84427,0.01670236530609163
-0.2173646,-1.330974e-17,2.688484,2.672928,a9.3.a2.2.1.cellPVmodule.6457,a9.3.a2.2.1.cellPVmodule.2310,600.5486666666667,22.079716666666666,0.03676584617758509
-0.5202892,-3.185852e-17,2.991409,2.975853,a9.3.a2.4.1.cellPVmodule.6457,a9.3.a2.4.1.cellPVmodule.2310,601.4771,22.861433333333334,0.038008754322615135
-0.8232137,-5.04073e-17,3.294334,3.278777,a9.3.a2.7.1.cellPVmodule.6457,a9.3.a2.7.1.cellPVmodule.2310,603.9869333333332,23.128680000000003,0.03829328157659663
-1.126138,-6.895608e-17,3.597258,3.581702,a9.3.a2.9.1.cellPVmodule.6457,a9.3.a2.9.1.cellPVmodule.2310,604.9444,24.610866666666666,0.040682789995041976
