x,y,z,rearZ,mattype,rearMat,Wm2Front,Wm2Back,Back/FrontRatio
1.314014,8.046018e-17,1.193459,1.177671,a9.3.a2.2.0.cellPVmodule.6457,a9.3.a2.2.0.cellPVmodule.2310,226.80606666666668,30.795606666666668,0.13577886756027002
1.006577,6.163509e-17,1.491803,1.476015,a9.3.a2.4.0.cellPVmodule.6457,a9.3.a2.4.0.cellPVmodule.2310,230.4288333333333,29.128816666666665,0.12641078737634523
0.6991403,4.281e-17,1.790147,1.774359,a9.3.a2.7.0.cellPVmodule.6457,a9.3.a2.7.0.cellPVmodule.2310,235.5095666666667,28.946356666666663,0.12290895086519116
0.3917032,2.39849e-17,2.088491,2.072703,a9.3.a2.9.0.cellPVmodule.6457,a9.3.a2.9.0.cellPVmodule.2310,238.35046666666665,26.502943333333334,0.11119270086303924
0.08426609,5.15981e-18,2.386834,2.371046,a9.3.octtube1a.6457,sky,212.17409999999998,38.29878,0.1805055352866571
-0.223171,-1.366528e-17,2.685178,2.66939,a9.3.a2.2.1.cellPVmodule.6457,a9.3.a2.2.1.cellPVmodule.2310,243.95206666666664,30.46553,0.12488275067116737
-0.5306081,-3.249038e-17,2.983522,2.967734,a9.3.a2.4.1.cellPVmodule.6457,a9.3.a2.4.1.cellPVmodule.2310,246.02963333333335,32.38993666666667,0.13165001539781157
-0.8380452,-5.131547e-17,3.281866,3.266078,a9.3.a2.7.1.cellPVmodule.6457,a9.3.a2.7.1.cellPVmodule.2310,247.83166666666668,33.85137666666667,0.13658964785379382
-1.145482,-7.014056e-17,3.580209,3.564421,a9.3.a2.9.1.cellPVmodule.6457,a9.3.a2.9.1.cellPVmodule.2310,249.42713333333336,34.73909666666666,0.1392749735261085
