x,y,z,rearZ,mattype,rearMat,Wm2Front,Wm2Back,Back/FrontRatio
1.695917,1.038449e-16,2.573738,2.551826,a9.3.a2.2.0.cellPVmodule.6457,a9.3.a2.2.0.cellPVmodule.2310,548.6208,59.487140000000004,0.10843014258638647
1.269233,7.771809e-17,2.535433,2.513521,a9.3.a2.4.0.cellPVmodule.6457,a9.3.a2.4.0.cellPVmodule.2310,548.6260000000001,54.95719666666667,0.10017224210012753
0.8425487,5.159123e-17,2.497127,2.475215,a9.3.a2.7.0.cellPVmodule.6457,a9.3.a2.7.0.cellPVmodule.2310,548.6313,50.37647666666667,0.09182193003705154
0.4158647,2.546437e-17,2.458821,2.436909,a9.3.a2.9.0.cellPVmodule.6457,a9.3.a2.9.0.cellPVmodule.2310,548.6365333333333,45.180366666666664,0.08235011992738861
-0.01081931,-6.624919e-19,2.420515,2.398603,a9.3.octtube1a.6457,sky,548.6419,8.175865,0.014901979046844498
-0.4375033,-2.678935e-17,2.38221,2.360298,a9.3.a2.2.1.cellPVmodule.6457,a9.3.a2.2.1.cellPVmodule.2310,548.5482,46.27764666666666,0.08436371189068669
-0.8641873,-5.291621e-17,2.343904,2.321992,a9.3.a2.4.1.cellPVmodule.6457,a9.3.a2.4.1.cellPVmodule.2310,548.5678333333334,50.06786666666667,0.09126998040051491
-1.290871,-7.904307e-17,2.305598,2.283686,a9.3.a2.7.1.cellPVmodule.6457,a9.3.a2.7.1.cellPVmodule.2310,548.5875666666667,54.65239,0.09962364023019801
-1.717555,-1.051699e-16,2.267292,2.245381,a9.3.a2.9.1.cellPVmodule.6457,a9.3.a2.9.1.cellPVmodule.2310,548.5094666666668,62.45817,0.11386869311639995
