x,y,z,rearZ,mattype,rearMat,Wm2Front,Wm2Back,Back/FrontRatio
1.126138,6.895608e-17,3.597258,3.581702,a9.3.a2.2.0.cellPVmodule.6457,a9.3.a2.2.0.cellPVmodule.2310,155.69473333333335,33.01182666666667,0.2120278183602548
0.8232137,5.04073e-17,3.294334,3.278777,a9.3.a2.4.0.cellPVmodule.6457,a9.3.a2.4.0.cellPVmodule.2310,154.8498,32.15149,0.20762882723240697
0.5202892,3.185852e-17,2.991409,2.975853,a9.3.a2.7.0.cellPVmodule.6457,a9.3.a2.7.0.cellPVmodule.2310,153.0044333333333,31.13374,0.20348127070868727
0.2173646,1.330974e-17,2.688484,2.672928,a9.3.a2.9.0.cellPVmodule.6457,a9.3.a2.9.0.cellPVmodule.2310,151.9577,29.987016666666666,0.1973366228236137
-0.08555992,-5.239034e-18,2.38556,2.370004,a9.3.octtube1a.6457,sky,111.17443333333331,59.47421,0.5349582026964591
-0.3884845,-2.378781e-17,2.082635,2.067079,a9.3.a2.2.1.cellPVmodule.6457,a9.3.a2.2.1.cellPVmodule.2310,147.93679999999998,24.67398,0.1667861763524941
-0.691409,-4.233659e-17,1.779711,1.764154,a9.3.a2.4.1.cellPVmodule.6457,a9.3.a2.4.1.cellPVmodule.2310,146.22486666666666,26.791796666666666,0.18322200632081512
-0.9943336,-6.088537e-17,1.476786,1.46123,a9.3.a2.7.1.cellPVmodule.6457,a9.3.a2.7.1.cellPVmodule.2310,143.06393333333332,26.772243333333336,0.18713351140321366
-1.297258,-7.943415e-17,1.173862,1.158305,a9.3.a2.9.1.cellPVmodule.6457,a9.3.a2.9.1.cellPVmodule.2310,141.09956666666665,26.649420000000003,0.18886827055029548
