x,y,z,rearZ,mattype,rearMat,Wm2Front,Wm2Back,Back/FrontRatio
1.409785,8.632445e-17,3.281617,3.262722,a9.3.a2.2.0.cellPVmodule.6457,a9.3.a2.2.0.cellPVmodule.2310,231.6344333333333,37.58378,0.1622540189950789
1.041845,6.379461e-17,3.062193,3.043298,a9.3.a2.4.0.cellPVmodule.6457,a9.3.a2.4.0.cellPVmodule.2310,231.1598333333333,36.2968,0.15701967966026542
0.6739049,4.126478e-17,2.84277,2.823875,a9.3.a2.7.0.cellPVmodule.6457,a9.3.a2.7.0.cellPVmodule.2310,229.2970333333333,35.56986,0.15512501124809763
0.3059648,1.873494e-17,2.623347,2.604452,a9.3.a2.9.0.cellPVmodule.6457,a9.3.a2.9.0.cellPVmodule.2310,228.46863333333332,33.05901,0.14469761043371338
-0.06197533,-3.794894e-18,2.403923,2.385028,a9.3.octtube1a.6457,sky,156.94593333333333,80.37024,0.5120854437423434
-0.4299155,-2.632473e-17,2.1845,2.165605,a9.3.a2.2.1.cellPVmodule.6457,a9.3.a2.2.1.cellPVmodule.2310,225.6061,27.574546666666663,0.12222375389190616
-0.7978556,-4.885456e-17,1.965077,1.946181,a9.3.a2.4.1.cellPVmodule.6457,a9.3.a2.4.1.cellPVmodule.2310,224.29373333333334,30.76985,0.13718489749053403
-1.165796,-7.13844e-17,1.745653,1.726758,a9.3.a2.7.1.cellPVmodule.6457,a9.3.a2.7.1.cellPVmodule.2310,222.12216666666666,31.27631,0.14080615934552826
-1.533736,-9.391423e-17,1.52623,1.507335,a9.3.a2.9.1.cellPVmodule.6457,a9.3.a2.9.1.cellPVmodule.2310,220.42406666666668,31.724386666666664,0.1439236795815116
