x,y,z,rearZ,mattype,rearMat,Wm2Front,Wm2Back,Back/FrontRatio
1.66163,1.017455e-16,1.86405,1.843216,a9.3.a2.2.0.cellPVmodule.6457,a9.3.a2.2.0.cellPVmodule.2310,301.4829,7.5951233333333334,0.025192467436348457
1.255941,7.69042e-17,2.001684,1.98085,a9.3.a2.4.0.cellPVmodule.6457,a9.3.a2.4.0.cellPVmodule.2310,301.7908333333333,8.280581666666667,0.027438057468972824
0.850252,5.206292e-17,2.139318,2.118484,a9.3.a2.7.0.cellPVmodule.6457,a9.3.a2.7.0.cellPVmodule.2310,302.94440000000003,8.499874333333333,0.02805744643534225
0.4445631,2.722164e-17,2.276951,2.256118,a9.3.a2.9.0.cellPVmodule.6457,a9.3.a2.9.0.cellPVmodule.2310,303.2364666666667,8.528615,0.028125201986913668
0.03887418,2.380357e-18,2.414585,2.393752,a9.3.octtube1a.6457,sky,13.09737,5.054631,0.3858977109365516
-0.3668147,-2.246092e-17,2.552219,2.531385,a9.3.a2.2.1.cellPVmodule.6457,a9.3.a2.2.1.cellPVmodule.2310,305.1691666666666,10.566564333333334,0.034625155036452346
-0.7725036,-4.73022e-17,2.689853,2.669019,a9.3.a2.4.1.cellPVmodule.6457,a9.3.a2.4.1.cellPVmodule.2310,305.1875333333333,11.111698666666667,0.03640929279125385
-1.178193,-7.214348e-17,2.827487,2.806653,a9.3.a2.7.1.cellPVmodule.6457,a9.3.a2.7.1.cellPVmodule.2310,305.20626666666664,11.723222,0.03841069096432611
-1.583881,-9.698476e-17,2.965121,2.944287,a9.3.a2.9.1.cellPVmodule.6457,a9.3.a2.9.1.cellPVmodule.2310,306.36493333333334,12.297383333333334,0.040139525956867705
