x,y,z,rearZ,mattype,rearMat,Wm2Front,Wm2Back,Back/FrontRatio
1.641387,1.005059e-16,1.793131,1.77262,a9.3.a2.2.0.cellPVmodule.6457,a9.3.a2.2.0.cellPVmodule.2310,244.71636666666666,31.09796,0.12707704575114612
1.241979,7.604929e-17,1.948051,1.92754,a9.3.a2.4.0.cellPVmodule.6457,a9.3.a2.4.0.cellPVmodule.2310,245.85943333333333,28.646173333333333,0.11651396259639446
0.8425716,5.159263e-17,2.102971,2.08246,a9.3.a2.7.0.cellPVmodule.6457,a9.3.a2.7.0.cellPVmodule.2310,247.34533333333334,27.575793333333333,0.11148656606997745
0.4431641,2.713597e-17,2.257891,2.23738,a9.3.a2.9.0.cellPVmodule.6457,a9.3.a2.9.0.cellPVmodule.2310,248.1005,25.06134,0.10101244853416848
0.04375657,2.679317e-18,2.412811,2.3923,a9.3.octtube1a.6457,sky,179.97503333333336,40.71242,0.22621023058440556
-0.3556509,-2.177734e-17,2.567731,2.54722,a9.3.a2.2.1.cellPVmodule.6457,a9.3.a2.2.1.cellPVmodule.2310,250.82333333333335,28.27826333333333,0.11274130766153734
-0.7550585,-4.6234e-17,2.722651,2.70214,a9.3.a2.4.1.cellPVmodule.6457,a9.3.a2.4.1.cellPVmodule.2310,251.15063333333333,29.956856666666667,0.11927796872778981
-1.154466,-7.069065e-17,2.877571,2.85706,a9.3.a2.7.1.cellPVmodule.6457,a9.3.a2.7.1.cellPVmodule.2310,252.04456666666667,31.436993333333334,0.12472742031963267
-1.553873,-9.514731e-17,3.032491,3.01198,a9.3.a2.9.1.cellPVmodule.6457,a9.3.a2.9.1.cellPVmodule.2310,252.25486666666666,32.655746666666666,0.12945485509686197
