x,y,z,rearZ,mattype,rearMat,Wm2Front,Wm2Back,Back/FrontRatio
1.126138,6.895608e-17,3.597258,3.581702,a9.3.a2.2.0.cellPVmodule.6457,a9.3.a2.2.0.cellPVmodule.2310,448.96610000000004,33.85140666666667,0.07539841263795648
0.8232137,5.04073e-17,3.294334,3.278777,a9.3.a2.4.0.cellPVmodule.6457,a9.3.a2.4.0.cellPVmodule.2310,447.42973333333333,32.83620666666667,0.0733883576169183
0.5202892,3.185852e-17,2.991409,2.975853,a9.3.a2.7.0.cellPVmodule.6457,a9.3.a2.7.0.cellPVmodule.2310,445.3843,30.69941,0.06892775760672838
0.2173646,1.330974e-17,2.688484,2.672928,a9.3.a2.9.0.cellPVmodule.6457,a9.3.a2.9.0.cellPVmodule.2310,443.79676666666666,28.846980000000002,0.06500028203536852
-0.08555992,-5.239034e-18,2.38556,2.370004,a9.3.octtube1a.6457,sky,419.3734666666667,26.43341,0.06303056600012368
-0.3884845,-2.378781e-17,2.082635,2.067079,a9.3.a2.2.1.cellPVmodule.6457,a9.3.a2.2.1.cellPVmodule.2310,437.4250333333334,28.658456666666666,0.06551612040161303
-0.691409,-4.233659e-17,1.779711,1.764154,a9.3.a2.4.1.cellPVmodule.6457,a9.3.a2.4.1.cellPVmodule.2310,434.96986666666663,31.46104,0.0723290739931548
-0.9943336,-6.088537e-17,1.476786,1.46123,a9.3.a2.7.1.cellPVmodule.6457,a9.3.a2.7.1.cellPVmodule.2310,431.4406000000001,34.19974666666667,0.07926854217735764
-1.297258,-7.943415e-17,1.173862,1.158305,a9.3.a2.9.1.cellPVmodule.6457,a9.3.a2.9.1.cellPVmodule.2310,428.65523333333334,39.77192333333334,0.09278279479119517
