x,y,z,rearZ,mattype,rearMat,Wm2Front,Wm2Back,Back/FrontRatio
1.297258,7.943415e-17,1.173862,1.158305,a9.3.a2.2.0.cellPVmodule.6457,a9.3.a2.2.0.cellPVmodule.2310,292.6663333333333,30.454666666666665,0.10405898847610827
0.9943336,6.088537e-17,1.476786,1.46123,a9.3.a2.4.0.cellPVmodule.6457,a9.3.a2.4.0.cellPVmodule.2310,300.116,29.34566,0.09778073218111603
0.691409,4.233659e-17,1.779711,1.764154,a9.3.a2.7.0.cellPVmodule.6457,a9.3.a2.7.0.cellPVmodule.2310,304.34099999999995,28.71291666666667,0.0943442464946234
0.3884845,2.378781e-17,2.082635,2.067079,a9.3.a2.9.0.cellPVmodule.6457,a9.3.a2.9.0.cellPVmodule.2310,311.40723333333335,28.472263333333334,0.09143066973074038
0.08555992,5.239034e-18,2.38556,2.370004,a9.3.octtube1a.6457,sky,314.7391333333333,44.73472,0.14213223946443015
-0.2173646,-1.330974e-17,2.688484,2.672928,a9.3.a2.2.1.cellPVmodule.6457,a9.3.a2.2.1.cellPVmodule.2310,319.6782666666666,28.799306666666666,0.09008812791320636
-0.5202892,-3.185852e-17,2.991409,2.975853,a9.3.a2.4.1.cellPVmodule.6457,a9.3.a2.4.1.cellPVmodule.2310,322.51140000000004,30.524393333333336,0.09464564256547449
-0.8232137,-5.04073e-17,3.294334,3.278777,a9.3.a2.7.1.cellPVmodule.6457,a9.3.a2.7.1.cellPVmodule.2310,325.33746666666667,31.210463333333337,0.0959322875438236
-1.126138,-6.895608e-17,3.597258,3.581702,a9.3.a2.9.1.cellPVmodule.6457,a9.3.a2.9.1.cellPVmodule.2310,327.25489999999996,32.06462333333334,0.09798027578214279
