x,y,z,rearZ,mattype,rearMat,Wm2Front,Wm2Back,Back/FrontRatio
1.268587,7.767856e-17,3.45834,3.44109,a9.3.a2.2.0.cellPVmodule.6457,a9.3.a2.2.0.cellPVmodule.2310,340.70163333333335,21.01263,0.06167439856398723
0.9326672,5.71094e-17,3.192475,3.175224,a9.3.a2.4.0.cellPVmodule.6457,a9.3.a2.4.0.cellPVmodule.2310,339.38236666666666,20.57533,0.060625628775167834
0.5967473,3.654023e-17,2.92661,2.909359,a9.3.a2.7.0.cellPVmodule.6457,a9.3.a2.7.0.cellPVmodule.2310,337.15659999999997,19.854386666666667,0.058887554860595374
0.2608273,1.597107e-17,2.660745,2.643494,a9.3.a2.9.0.cellPVmodule.6457,a9.3.a2.9.0.cellPVmodule.2310,335.42293333333333,19.002436666666668,0.05665199998648477
-0.07509266,-4.598099e-18,2.394879,2.377629,a9.3.octtube1a.6457,sky,302.13436666666666,26.147540000000003,0.08654246700237346
-0.4110126,-2.516727e-17,2.129014,2.111763,a9.3.a2.2.1.cellPVmodule.6457,a9.3.a2.2.1.cellPVmodule.2310,327.9704,16.394683333333333,0.04998814937318722
-0.7469326,-4.573643e-17,1.863149,1.845898,a9.3.a2.4.1.cellPVmodule.6457,a9.3.a2.4.1.cellPVmodule.2310,323.97630000000004,17.739630000000002,0.05475578072908195
-1.082853,-6.63056e-17,1.597284,1.580033,a9.3.a2.7.1.cellPVmodule.6457,a9.3.a2.7.1.cellPVmodule.2310,319.25926666666663,17.834573333333335,0.05586217639777287
-1.418773,-8.687476e-17,1.331418,1.314168,a9.3.a2.9.1.cellPVmodule.6457,a9.3.a2.9.1.cellPVmodule.2310,315.0449333333333,17.515249999999998,0.05559586125959622
