x,y,z,rearZ,mattype,rearMat,Wm2Front,Wm2Back,Back/FrontRatio
1.284238,7.863692e-17,3.440964,3.423529,a9.3.a2.2.0.cellPVmodule.6457,a9.3.a2.2.0.cellPVmodule.2310,83.32367666666667,15.355756666666665,0.1842882238606946
0.9447302,5.784804e-17,3.179696,3.162261,a9.3.a2.4.0.cellPVmodule.6457,a9.3.a2.4.0.cellPVmodule.2310,82.96006,14.886800000000001,0.1794432231217875
0.6052221,3.705917e-17,2.918428,2.900993,a9.3.a2.7.0.cellPVmodule.6457,a9.3.a2.7.0.cellPVmodule.2310,82.27811,14.474770000000001,0.17592278283029558
0.265714,1.627029e-17,2.657161,2.639725,a9.3.a2.9.0.cellPVmodule.6457,a9.3.a2.9.0.cellPVmodule.2310,81.82737666666667,13.908376666666667,0.16997009146745468
-0.0737941,-4.518585e-18,2.395893,2.378458,a9.3.octtube1a.6457,sky,57.417273333333334,31.67654,0.5516804696669736
-0.4133022,-2.530746e-17,2.134625,2.11719,a9.3.a2.2.1.cellPVmodule.6457,a9.3.a2.2.1.cellPVmodule.2310,79.91879333333333,11.636758333333333,0.14560546077488187
-0.7528103,-4.609634e-17,1.873357,1.855922,a9.3.a2.4.1.cellPVmodule.6457,a9.3.a2.4.1.cellPVmodule.2310,79.20625,12.559756666666667,0.15856827079170993
-1.092318,-6.688521e-17,1.61209,1.594655,a9.3.a2.7.1.cellPVmodule.6457,a9.3.a2.7.1.cellPVmodule.2310,77.80007666666667,12.56876,0.1615499494158671
-1.431827,-8.767409e-17,1.350822,1.333387,a9.3.a2.9.1.cellPVmodule.6457,a9.3.a2.9.1.cellPVmodule.2310,76.91829666666666,12.58193666666667,0.16357321519970566
